+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Legal Partition Candidates                                                                                                                                                                                                                                                                   ;
+-----------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; Hierarchy                                                                               ; Input ; Constant Input ; Unused Input ; Floating Input ; Output ; Constant Output ; Unused Output ; Floating Output ; Bidir ; Constant Bidir ; Unused Bidir ; Input only Bidir ; Output only Bidir ;
; GAME_CONTROL|PK0_CURSOR_SUM|fullAdder0                                                  ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; GAME_CONTROL|PK0_CURSOR_SUM                                                             ; 9     ; 2              ; 0            ; 2              ; 5      ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; GAME_CONTROL                                                                            ; 5     ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IMAGE_CONTROL|COLOR_BLOCK|TILES_ROM|altsyncram_component|auto_generated|mux2            ; 66    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IMAGE_CONTROL|COLOR_BLOCK|TILES_ROM|altsyncram_component|auto_generated|rden_decode     ; 2     ; 0              ; 0            ; 0              ; 4      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IMAGE_CONTROL|COLOR_BLOCK|TILES_ROM|altsyncram_component|auto_generated                 ; 16    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IMAGE_CONTROL|COLOR_BLOCK|TILES_ROM                                                     ; 16    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IMAGE_CONTROL|COLOR_BLOCK|BACKGROUND_SP|altsyncram_component|auto_generated|mux2        ; 66    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IMAGE_CONTROL|COLOR_BLOCK|BACKGROUND_SP|altsyncram_component|auto_generated|rden_decode ; 2     ; 0              ; 0            ; 0              ; 4      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IMAGE_CONTROL|COLOR_BLOCK|BACKGROUND_SP|altsyncram_component|auto_generated             ; 16    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IMAGE_CONTROL|COLOR_BLOCK|BACKGROUND_SP                                                 ; 16    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IMAGE_CONTROL|COLOR_BLOCK|PK_SEL|RANDOM_SP|altsyncram_component|auto_generated          ; 57    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IMAGE_CONTROL|COLOR_BLOCK|PK_SEL|RANDOM_SP                                              ; 25    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IMAGE_CONTROL|COLOR_BLOCK|PK_SEL|CHARIZARD_SP|altsyncram_component|auto_generated       ; 57    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IMAGE_CONTROL|COLOR_BLOCK|PK_SEL|CHARIZARD_SP                                           ; 25    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IMAGE_CONTROL|COLOR_BLOCK|PK_SEL|FLAREON_SP|altsyncram_component|auto_generated         ; 57    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IMAGE_CONTROL|COLOR_BLOCK|PK_SEL|FLAREON_SP                                             ; 25    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IMAGE_CONTROL|COLOR_BLOCK|PK_SEL|GARCHOMP_SP|altsyncram_component|auto_generated        ; 57    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IMAGE_CONTROL|COLOR_BLOCK|PK_SEL|GARCHOMP_SP                                            ; 25    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IMAGE_CONTROL|COLOR_BLOCK|PK_SEL|JOLTEON_SP|altsyncram_component|auto_generated         ; 57    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IMAGE_CONTROL|COLOR_BLOCK|PK_SEL|JOLTEON_SP                                             ; 25    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IMAGE_CONTROL|COLOR_BLOCK|PK_SEL|LAPRAS_SP|altsyncram_component|auto_generated          ; 57    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IMAGE_CONTROL|COLOR_BLOCK|PK_SEL|LAPRAS_SP                                              ; 25    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IMAGE_CONTROL|COLOR_BLOCK|PK_SEL|ODDISH_SP|altsyncram_component|auto_generated          ; 57    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IMAGE_CONTROL|COLOR_BLOCK|PK_SEL|ODDISH_SP                                              ; 25    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IMAGE_CONTROL|COLOR_BLOCK|PK_SEL|SANDSLASH_SP|altsyncram_component|auto_generated       ; 57    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IMAGE_CONTROL|COLOR_BLOCK|PK_SEL|SANDSLASH_SP                                           ; 25    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IMAGE_CONTROL|COLOR_BLOCK|PK_SEL|VAPOREON_SP|altsyncram_component|auto_generated        ; 57    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IMAGE_CONTROL|COLOR_BLOCK|PK_SEL|VAPOREON_SP                                            ; 25    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IMAGE_CONTROL|COLOR_BLOCK|PK_SEL|ZERAORA_SP|altsyncram_component|auto_generated         ; 57    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IMAGE_CONTROL|COLOR_BLOCK|PK_SEL|ZERAORA_SP                                             ; 25    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IMAGE_CONTROL|COLOR_BLOCK|PK_SEL|LEAFEON_SP|altsyncram_component|auto_generated         ; 57    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IMAGE_CONTROL|COLOR_BLOCK|PK_SEL|LEAFEON_SP                                             ; 25    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IMAGE_CONTROL|COLOR_BLOCK|PK_SEL                                                        ; 33    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IMAGE_CONTROL|COLOR_BLOCK                                                               ; 96    ; 0              ; 0            ; 0              ; 24     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IMAGE_CONTROL|SYNC_BLOCK|V_COUNTER                                                      ; 27    ; 25             ; 0            ; 25             ; 12     ; 25              ; 25            ; 25              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IMAGE_CONTROL|SYNC_BLOCK|H_COUNTER                                                      ; 27    ; 25             ; 0            ; 25             ; 12     ; 25              ; 25            ; 25              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IMAGE_CONTROL|SYNC_BLOCK                                                                ; 2     ; 0              ; 0            ; 0              ; 25     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IMAGE_CONTROL|CLOCK_BLOCK|pll_40mhz_inst                                                ; 2     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IMAGE_CONTROL|CLOCK_BLOCK                                                               ; 2     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IMAGE_CONTROL|MOVE_CONT|POS1_Y_SUM|\fullAdderLoop:10:fullAdder_i                        ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IMAGE_CONTROL|MOVE_CONT|POS1_Y_SUM|\fullAdderLoop:9:fullAdder_i                         ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IMAGE_CONTROL|MOVE_CONT|POS1_Y_SUM|\fullAdderLoop:8:fullAdder_i                         ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IMAGE_CONTROL|MOVE_CONT|POS1_Y_SUM|\fullAdderLoop:7:fullAdder_i                         ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IMAGE_CONTROL|MOVE_CONT|POS1_Y_SUM|\fullAdderLoop:6:fullAdder_i                         ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IMAGE_CONTROL|MOVE_CONT|POS1_Y_SUM|\fullAdderLoop:5:fullAdder_i                         ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IMAGE_CONTROL|MOVE_CONT|POS1_Y_SUM|\fullAdderLoop:4:fullAdder_i                         ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IMAGE_CONTROL|MOVE_CONT|POS1_Y_SUM|\fullAdderLoop:3:fullAdder_i                         ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IMAGE_CONTROL|MOVE_CONT|POS1_Y_SUM|\fullAdderLoop:2:fullAdder_i                         ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IMAGE_CONTROL|MOVE_CONT|POS1_Y_SUM|\fullAdderLoop:1:fullAdder_i                         ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IMAGE_CONTROL|MOVE_CONT|POS1_Y_SUM|fullAdder0                                           ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IMAGE_CONTROL|MOVE_CONT|POS1_Y_SUM                                                      ; 23    ; 3              ; 0            ; 3              ; 12     ; 3               ; 3             ; 3               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IMAGE_CONTROL|MOVE_CONT|POS1_X_SUM|\fullAdderLoop:10:fullAdder_i                        ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IMAGE_CONTROL|MOVE_CONT|POS1_X_SUM|\fullAdderLoop:9:fullAdder_i                         ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IMAGE_CONTROL|MOVE_CONT|POS1_X_SUM|\fullAdderLoop:8:fullAdder_i                         ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IMAGE_CONTROL|MOVE_CONT|POS1_X_SUM|\fullAdderLoop:7:fullAdder_i                         ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IMAGE_CONTROL|MOVE_CONT|POS1_X_SUM|\fullAdderLoop:6:fullAdder_i                         ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IMAGE_CONTROL|MOVE_CONT|POS1_X_SUM|\fullAdderLoop:5:fullAdder_i                         ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IMAGE_CONTROL|MOVE_CONT|POS1_X_SUM|\fullAdderLoop:4:fullAdder_i                         ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IMAGE_CONTROL|MOVE_CONT|POS1_X_SUM|\fullAdderLoop:3:fullAdder_i                         ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IMAGE_CONTROL|MOVE_CONT|POS1_X_SUM|\fullAdderLoop:2:fullAdder_i                         ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IMAGE_CONTROL|MOVE_CONT|POS1_X_SUM|\fullAdderLoop:1:fullAdder_i                         ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IMAGE_CONTROL|MOVE_CONT|POS1_X_SUM|fullAdder0                                           ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IMAGE_CONTROL|MOVE_CONT|POS1_X_SUM                                                      ; 23    ; 3              ; 0            ; 3              ; 12     ; 3               ; 3             ; 3               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IMAGE_CONTROL|MOVE_CONT|POS0_Y_SUM|\fullAdderLoop:10:fullAdder_i                        ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IMAGE_CONTROL|MOVE_CONT|POS0_Y_SUM|\fullAdderLoop:9:fullAdder_i                         ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IMAGE_CONTROL|MOVE_CONT|POS0_Y_SUM|\fullAdderLoop:8:fullAdder_i                         ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IMAGE_CONTROL|MOVE_CONT|POS0_Y_SUM|\fullAdderLoop:7:fullAdder_i                         ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IMAGE_CONTROL|MOVE_CONT|POS0_Y_SUM|\fullAdderLoop:6:fullAdder_i                         ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IMAGE_CONTROL|MOVE_CONT|POS0_Y_SUM|\fullAdderLoop:5:fullAdder_i                         ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IMAGE_CONTROL|MOVE_CONT|POS0_Y_SUM|\fullAdderLoop:4:fullAdder_i                         ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IMAGE_CONTROL|MOVE_CONT|POS0_Y_SUM|\fullAdderLoop:3:fullAdder_i                         ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IMAGE_CONTROL|MOVE_CONT|POS0_Y_SUM|\fullAdderLoop:2:fullAdder_i                         ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IMAGE_CONTROL|MOVE_CONT|POS0_Y_SUM|\fullAdderLoop:1:fullAdder_i                         ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IMAGE_CONTROL|MOVE_CONT|POS0_Y_SUM|fullAdder0                                           ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IMAGE_CONTROL|MOVE_CONT|POS0_Y_SUM                                                      ; 23    ; 3              ; 0            ; 3              ; 12     ; 3               ; 3             ; 3               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IMAGE_CONTROL|MOVE_CONT|POS0_X_SUM|\fullAdderLoop:10:fullAdder_i                        ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IMAGE_CONTROL|MOVE_CONT|POS0_X_SUM|\fullAdderLoop:9:fullAdder_i                         ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IMAGE_CONTROL|MOVE_CONT|POS0_X_SUM|\fullAdderLoop:8:fullAdder_i                         ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IMAGE_CONTROL|MOVE_CONT|POS0_X_SUM|\fullAdderLoop:7:fullAdder_i                         ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IMAGE_CONTROL|MOVE_CONT|POS0_X_SUM|\fullAdderLoop:6:fullAdder_i                         ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IMAGE_CONTROL|MOVE_CONT|POS0_X_SUM|\fullAdderLoop:5:fullAdder_i                         ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IMAGE_CONTROL|MOVE_CONT|POS0_X_SUM|\fullAdderLoop:4:fullAdder_i                         ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IMAGE_CONTROL|MOVE_CONT|POS0_X_SUM|\fullAdderLoop:3:fullAdder_i                         ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IMAGE_CONTROL|MOVE_CONT|POS0_X_SUM|\fullAdderLoop:2:fullAdder_i                         ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IMAGE_CONTROL|MOVE_CONT|POS0_X_SUM|\fullAdderLoop:1:fullAdder_i                         ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IMAGE_CONTROL|MOVE_CONT|POS0_X_SUM|fullAdder0                                           ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IMAGE_CONTROL|MOVE_CONT|POS0_X_SUM                                                      ; 23    ; 3              ; 0            ; 3              ; 12     ; 3               ; 3             ; 3               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IMAGE_CONTROL|MOVE_CONT|REFRESH_C1                                                      ; 49    ; 47             ; 0            ; 47             ; 23     ; 47              ; 47            ; 47              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IMAGE_CONTROL|MOVE_CONT|REFRESH_C0                                                      ; 49    ; 47             ; 0            ; 47             ; 23     ; 47              ; 47            ; 47              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IMAGE_CONTROL|MOVE_CONT                                                                 ; 5     ; 0              ; 0            ; 0              ; 44     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IMAGE_CONTROL                                                                           ; 32    ; 0              ; 0            ; 0              ; 28     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
+-----------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
